rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
360,Harlow's School Bus Service Inc-MT,MT,family-owned,"Harlow's Bus Service Inc. (Bismarck, ND) - Hageness family","[""Harlow H. Hageness (founder, 1966)"", ""Jason Hageness"", ""Jeremy Hageness (VP, MT operations)"", ""Justin Hageness""]",low,1953,,30,"[""school bus"", ""charter (Harlow's Trailways)"", ""bus sales & service (parent group)""]","[""Libby MT-area school districts; parent operates across ID/MT/ND/SD/WA/NE""]","No M&A activity identified; remains family-owned multi-state platform led by three Hageness brothers (2nd generation). Libby, MT location is a regional branch of the broader Harlow's Bus Service Inc. (Bismarck, ND HQ).",https://www.harlowsschoolbus.com,high,"MT 'company' is a branch of a larger 2nd-gen family-owned regional school bus + motorcoach + bus-sales platform headquartered in Bismarck, ND covering 6 states. Cannot acquire just the Libby branch in isolation; would have to approach the parent (Hageness family). Three active sibling owners with 25+ years signals lower near-term succession urgency, but the multi-state footprint and diversified revenue (school bus + Trailways charter + Harlow's truck/bus dealership) make the platform itself an interesting larger-than-tuck-in target if family ever transacts."
364,Campbell Bus Lines,PA,family-owned,"independent (Buco Transportation, Inc. dba Campbell Bus Lines)",Todd Campbell (Owner),medium,1970,,135,"[""motorcoach/charter"", ""school bus (home-to-school)"", ""collegiate athletics charter""]",Two PA school districts (home-to-school); Youngstown State University athletics; Grove City College; Slippery Rock University,Family-owned 50+ years; primarily motorcoach/charter (all-Prevost H3-45 fleet) with smaller school-bus operation; COVID-era impact on sports/charter (2020).,https://campbelltours.com/,medium,"Marginal fit: family-owned 50+ years in PA (Summit footprint) with some school-district yellow-bus work, but core business is luxury motorcoach charter and collegiate athletics—a different asset/labor profile than Summit's home-to-school platform. Possible long-tail tuck-in only if school-bus operation can be carved out or if Summit values the charter optionality."
365,Kids Door To Door,FL,family-owned,independent,Ozzie Saez (President),medium,1984,,47,"[""school transportation (alternative/small-vehicle)"", ""charter/private/parochial school routes"", ""field trips"", ""summer programs""]","Hillsborough County FL (Brandon, Riverview, Valrico, Apollo Beach); contracts with BridgePrep Academy, Kids Community College, LLT Academy, Pepin Academy, Riverview Academy of Math & Science, SouthShore Charter Academy, Winthrop Charter Academy, Winthrop College Prep Academy",No M&A activity found; 40+ year family-run alternative student transport serving Tampa-area charter and private schools.,https://kdtdtransport.com/,medium,"Niche tuck-in candidate in FL (Summit expansion state): 40+ years, charter/private-school book in fast-growing Tampa Bay. Likely a small-vehicle/van fleet (not yellow buses); profile closer to HopSkipDrive/EverDriven alternative-transport than traditional home-to-school. Succession plausible at long-tenured founder; smaller revenue (~$2M) means bolt-on scale only."
366,Boyo Transportation SVC Inc,PA,family-owned,independent,"Donald Boyanowski Sr. (Founder, retired 2005); Donald Boyanowski Jr. (Vice President / day-to-day operations); Dorothy Boyanowski",medium,1993,80,27,"[""school bus (home-to-school)"", ""special needs / wheelchair-accessible vans"", ""school vans""]","Central PA school districts; historic litigation referenced West Perry School District and Capital Area Intermediate Unit; operates from 5 PA branches (Harrisburg/Middletown HQ, Palmyra/Hershey, Ephrata, Shippensburg, Carlisle)",2017: 25 of 37 buses at one branch failed PA state inspection (twice) — historical safety/inspection issues. Founder retired 2005; son leads operations.,https://www.boyotrans.com/,medium,"Multi-branch family PA operator in Summit footprint with SPED/wheelchair capability and 30+ year history — structurally interesting tuck-in. Caveats: prior PennDOT inspection-failure media coverage (2017) is a diligence flag (maintenance/safety review needed); employee count (27) in source data looks low vs. 5 branches and Ephrata branch alone having 37+ buses in 2017, suggesting fleet/headcount is meaningfully larger. Second-gen owner-operator implies medium succession potential."
368,PA Coach Lines,PA,independent,"independent (David Sunstein, owner)","[""David Sunstein (President/Owner)"", ""Larry Cupps (Manager)""]",medium,1989,,125,"[""school"", ""charter""]","[""McKeesport Area School District"", ""Elizabeth Forward School District""]",2021: Received >$800K PA DEP grant to upgrade buses to cleaner diesel. 2018-2022: Multiple legal disputes with McKeesport Area SD over busing contract; also litigation with Elizabeth Forward SD over service obligations.,,medium,"Independent founder-led PA school bus contractor (~$5-13M rev, ~125 staff) in Summit's PA footprint serving multiple Allegheny/Westmoreland districts. Potential tuck-in but recent litigation with customer districts and possible relocation are diligence flags. Founder Sunstein could be a succession candidate."
371,Carefor Bus Co,NY,family-owned,independent (Hoffman family),"[""Neil Hoffman (Owner)"", ""Marty Hoffman (VP/Co-owner)""]",medium,1971,,200,"[""school"", ""special-needs"", ""charter""]","[""NYC DOE (OPT vendor B2192)"", ""ARC"", ""NYPD/FDNY/NYS/NYCDOT/DSNY/DEC"", ""US military branches""]","Pre-2020: Pioneered XL Hybrid retrofit on Type-A school buses, achieving ~25% fuel economy gain and 20% CO2 reduction; publicly recognized as one of NYC's earliest hybrid school bus operators.",https://carefulbus.com/,high,"Strong tuck-in candidate: family-owned (Hoffman) NYC OPT special-needs/Type-A operator since 1971, ~$8M revenue/~200 employees, with a recognizable brand and innovative hybrid fleet credentials. Multi-generational ownership (Neil + Marty Hoffman) suggests potential succession opportunity. NOTE: The 'Carefor' spelling in the source list is a typo for 'Careful Bus Service Inc.' (same address, very similar phone)."
373,School Student Transportation,PA,family-owned,independent (D.B. Fisher family),Donald B. (Donnie) Fisher (President/Owner),medium,1966,50-80,200,"[""school"", ""charter"", ""tours/travel""]","Cornwall-Lebanon SD, Northern Lebanon SD, and other Lebanon County PA districts; also operates as D.B. Fisher Charter Bus Co. / D.B. Fisher Tours & Travel Agency","Long-standing Lebanon, PA family operator (founded 1966); records show continued active operations as of 2026 under D B Fisher School Student Transportation Inc. (DOT 966692) and affiliated D.B. Fisher Charter Bus Co.",,medium,"Attractive PA tuck-in: ~200 employees, independent family-owned multi-district operator in Lebanon County with combined school/charter book and 60-yr operating history; Donnie Fisher's tenure suggests possible succession opportunity. Worth direct outreach."
374,Sunrise Busses Inc,NY,family-owned,"independent (Brown family, 3rd-4th generation)","Christa Brown (Owner/CEO); Michelle Scheffler (daughter); Claire Martinez (granddaughter, Administration); Corinne Brown, Shannon Leonard, Gabriella Garren (family management)",high,1937,60-100,128,"[""school"", ""public transit (Suffolk County)"", ""charter""]",Six North Fork / East End Long Island school districts; also operates several Suffolk County Transit routes; charter bus service. Sister to historic Sunrise Coach Lines (line-run/charter business sold to Hampton Jitney in 2006).,"Family-owned since 1937 (Brown family). 2006: sold line-run/charter operation to Hampton Jitney but retained school bus and transit operations. Christa Brown (82, widow of Robert W. Brown who died 2005) still owns and drives; 3rd/4th generation actively managing per 2024 greaterlongisland.com feature.",https://www.sunrisecoach.com/,high,"High-fit Long Island tuck-in candidate: aging 82-yr-old owner-operator, 4th-generation family business, six-district school book plus Suffolk transit. Strong succession signal; prior 2006 sale of charter segment to Hampton Jitney shows willingness to divest. Worth proactive outreach."
375,Beach Transportation,MT,family-owned,"independent (Beach family, 3rd generation)",Greg D. Beach (CEO); Scott R. Beach (COO); Loren Beach (Owner per ZoomInfo); Robert (Bob) Beach (prior gen); Ray Beach (founder); Carlin Cavill (GM); Robert Mitchell (GM historically),medium,1940,40-70,140,"[""school"", ""special-needs"", ""charter"", ""motorcoach"", ""field trips""]","Missoula County Public Schools (MCPS) primary contract; charter operations across MT/US/Canada including weddings, corporate, sports teams, conventions","Family-owned since 1940 (Ray Beach -> Bob Beach -> sons Greg & Scott Beach, both joined 1979). 3-time Golden Merit Award recipient. Continues active as of 2025/2026 per Missoula Chamber and KPAX coverage.",https://beachtrans.com/,high,"Solid independent MT operator with anchor MCPS contract and large charter book; outside Summit's stated expansion footprint but valuable if MT is in scope. 3rd-generation principals (Greg/Scott Beach, both 45+ yrs tenure) suggest medium-term succession possibility; family pride/legacy may slow process."
378,Nelson Garage,PA,family-owned,independent,Randall K. Richter (VP); Lois Richter listed as key principal in business directories,medium,1951,60,90,school bus contracting; charter (T.A. Nelson Coach Lines affiliate),Frazier School District; Connellsville-area routes; Geibel Catholic school services,Listed at 170 Vanderbilt Rd as T.A. Nelson Bus Lines / Nelson Bus Lines; affiliate T.A. Nelson Coach Lines provides charter; no M&A news found.,https://www.facebook.com/tanelsoncoachlines/,medium,Long-tenured (1951) family-run Western PA operator at 170 Vanderbilt Rd with school + charter affiliate; ~60-80 buses estimate; fits Summit's PA tuck-in profile though 'Nelson Garage' label likely a DBA/garage entity for T.A. Nelson Bus Lines.
379,PM Bus Inc,PA,family-owned,independent,"Mark Tatalovic (President); Phillip M. Tatalovic (prior President, inactive)",medium,1975,40,50,school bus contracting,"Crawford County / Penncrest area school districts (Guys Mills, PA)",No M&A news; family-run since 1975; succession from Phillip to Mark Tatalovic noted in directory listings.,https://www.facebook.com/PMBusInc/,medium,"Second-generation family operator in NW PA; transition Phillip -> Mark Tatalovic suggests potential succession event; reported employee figure (125) likely overstated vs D&B (~10), so fleet size uncertain; viable PA tuck-in."
381,Penny Transportation,NY,family-owned,independent,Phillip (Philip) Benowitz (Owner/CEO); affiliated entities B&F Skilled Inc. and Smart Pick Transportation,medium,1974,45,50,school bus; special-needs/employee transport (NYC OPT contractor),NYC DOE / Office of Pupil Transportation routes in Brooklyn,DOT-registered with 44 power units / 45 drivers; 50-year independent NYC operator; no M&A news identified.,,medium,50-year independent NYC yellow-bus contractor with affiliated B&F Skilled and Smart Pick entities suggesting roll-up potential; Brooklyn footprint aligns with Summit's NYC OPT expansion; succession may be near (founder-led since 1974).
