a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
538,,A,Lusito Omnibus,PR,"Cabo Rojo, PR",76.5,1.0,41,20,2013,census(medium),2398778,A,,family-owned,independent,EVELYN RAMIREZ LUGO,unknown,"[""school"", ""charter""]","[""Western PR school routes"", ""group/excursion charter across PR""]","Luisito's Omnibus Inc. (proper spelling) received SBA PPP loan of $16,700 in March 2021. Self-describes as 30+ years serving the West region with 47-passenger motor coaches equipped with ramps, A/C, restrooms.",https://www.luisitosomnibus.com/,single,31,1301000,"Established (~30+ yr) western-PR family operator serving schools and charter — but small PPP loan suggests modest payroll/scale. PR market complexity (DE contracting, Jones Act, geographic isolation from Summit's mainland footprint) makes this a low-priority tuck-in candidate.",100,40,30,100,100,90,1155
539,,A,BJ Bus Svc Inc,MD,"Hyattsville, MD",76.5,1.0,2,1,1999,census(high),805617,A,S,family-owned,"independent (Russell Jackson, principal)",Russell Jackson (Principal/Owner),medium,"[""private passenger (non-business) charter; possible school/activity charter""]","Operates in Prince George's County, MD area; no confirmed PGCPS contractor listing",No M&A or expansion news. USDOT 805617 ACTIVE with Satisfactory safety rating (Feb 2021 compliance review). Reported revenue ~$119K.,Not confirmed (listed website 'Heritagevethospital.com' in source data is a veterinary hospital — mis-association). No company website found.,single,3,120000,"Too small to be a meaningful tuck-in. Only 2 power units / 1 driver per FMCSA, ~$119K revenue, USDOT-classified 'private passenger (non-business)' rather than authorized school-bus carrier. Likely a 1-owner-operator charter, not a route contractor.",40,85,70,100,100,90,1751
540,,A,Red Top Transportation,PA,"Scranton, PA",76.5,1.0,3,3,1986,census(medium),269313,I,,independent,independent,[],medium,"[""school"", ""special-needs""]","[""Scranton City School District""]",40+ year operator of contracted school student transportation in Scranton PA; specializes in special-needs student transportation. Member PA School Bus Association. Submitted contract proposals to Scranton City School District in 2022. No acquisition news.,redtoptransportation.com,single,2,75000,"Independent, long-tenured (40+ yr) NEPA special-needs/school operator anchored to Scranton SD — potentially attractive tuck-in given Summit's PA footprint and SPED focus; succession likely given longevity, but ownership/fleet detail thin.",40,100,100,100,50,90,1761
541,,A,School Days Inc,NY,"Brooklyn, NY",76.5,0.8,1,1,1979,census(medium),1075802,I,,family-owned,independent (Tufaro family),"Joseph Tufaro (President, owner since 1977)",high,"[""school"", ""NYC DOE pupil transportation"", ""charter""]","NYC Department of Education / Office of Pupil Transportation (OPT). Sister/co-located entity Tufaro Transit Co. Inc. operates from same 225 Van Brunt St, Brooklyn address with same (718) 237-9200 phone; FMCSA shows 41 power units and 41 drivers under USDOT 350708 / MC 165111. NLRB cases (2013) indicate a unionized Brooklyn pupil-transport workforce typical of NYC OPT contractors.","No recent M&A. Long-tenured family operation - Joseph Tufaro has owned the business since 1977 (47+ years), a strong succession signal. Litigation history includes Tufaro Transit Co. v. Board of Ed. of NYC (early 1980s) and 2013 NLRB cases, consistent with a long-standing NYC OPT contractor.",,single,35,1367000,"Attractive Brooklyn family tuck-in: ~41-bus NYC DOE OPT contractor, family-owned for nearly 50 years under aging owner (Joseph Tufaro), strong succession signal. School Days Inc and Tufaro Transit appear to be co-located affiliated entities (same address/phone) - any deal likely needs to encompass both. NYC OPT contracts (subject to EPP litigation and re-bidding) are a sensitive but consolidated market where platforms like Reliant/Beacon, NellBus, and Pioneer have been active acquirers.",40,100,100,100,50,90,456
542,,A,Chamber's Bus Garage,PA,"Columbia Cross Roads, PA",76.5,0.8,2,2,1958,census(medium),509789,I,,family-owned,independent (Chambers family),Mike Chambers (owner per source list); Jodi Strait (training/operations contact per CDL Knowledge),unknown,"[""school""]","Troy Area School District (Bradford County, PA); allocated 3 EPA Clean School Bus electric buses in Oct 2022 to serve Troy ASD",Awarded 3 electric school buses via EPA Clean School Bus Program (Oct 2022) for Troy Area SD service; FMCSA authority active since April 1998 (DOT 745113).,,single,30,1006000,Independent rural PA contractor (~38 buses) anchored on Troy ASD; participating in EPA EV transition is a positive operational signal. Single-district concentration limits standalone size but fits PA roll-up footprint.,40,100,100,100,50,90,509
543,,A,Bendickson School Bus Svc Inc,MN,"Bejou, MN",76.5,0.8,2,2,2001,census(high),939415,A,,family-owned,independent,"[""Joyce Marie Bendickson"", ""Bert Bendickson""]",unknown,"[""school""]","[""local Mahnomen/Bejou-area MN school district""]",No recent M&A activity; SAFER/FMCSA shows ~2 power units and ~2 drivers under USDOT 939415; a separate Bert Bendickson DOT (2923232) also registered.,,single,31,1301000,Micro family operator (~2 buses) in rural northwestern MN; employee count in source list (31) is overstated. Too small to be a standalone tuck-in for Summit; only relevant as part of a broad MN small-operator roll-up.,40,85,70,100,100,90,821
544,,A,Greig's Bus Svc Inc,MN,"Motley, MN",76.5,0.8,3,3,1987,agent,2298452,active,None,family-owned,independent,"[""Lee Greig"", ""Janet Greig"", ""James Greig""]",medium,"[""school""]","[""likely Staples-Motley ISD 2170 and/or Pillager ISD 116 (MN)""]",Active intrastate carrier (USDOT 2298452) incorporated 1987; received PPP loan during COVID; no M&A news identified.,,single,31,1301000,"Long-tenured (1987) Greig-family operator (~4 buses) in central MN. Multi-generational ownership suggests some succession risk, but scale is sub-scale for Summit; only of interest as part of a broader rural MN roll-up.",40,85,70,100,100,90,822
545,,A,Bert Bendickson School Bus,MN,"Bejou, MN",76.5,0.8,2,2,2001,census(high),2923232,A,,family-owned,independent,"[""Bertram Bendickson (Owner)"", ""Joyce Marie Bendickson (officer; related entity Bendickson School Bus Service Inc, USDOT 939415)""]",high,"[""school""]","[""Bejou-area / Mahnomen County / White Earth Reservation district routes (rural NW Minnesota)""]","FMCSA records show Bendickson School Bus Service Inc (USDOT 939415, first registered 2001) and a separate Bert Bendickson DOT 2923232 — both at Bejou, MN. Obituary noted for Albertha Bendickson of Mahnomen, suggesting multi-generational family operation. No M&A activity.",,single,16,672000,"True family-owned micro operator in rural NW Minnesota — confirmed independent but extremely small (2 drivers per FMCSA, <$1M revenue). Geographically remote from Summit's core footprint; not a tuck-in priority despite high succession signal.",40,85,70,100,100,90,1386
546,,A,Northern Express Bus Svc,WI,"Berlin, WI",76.5,0.8,55,48,2018,census(high),3157839,A,,family-owned,independent,Jeff Walker (Owner),medium,"[""school bus"", ""student transportation""]","Berlin WI HQ; serves Ripon Area School District (started 2022-23 SY) plus 5-6 other Wisconsin school districts; purchased a bus terminal at 525 E Fond du Lac St, Ripon","Won Ripon Area SD contract in 2022 as most competitively priced of 4 bidders, replacing longtime incumbent Lamers Bus Lines; Walker noted driver-shortage challenges; expanded with Ripon terminal acquisition.",,small(2-5),39,1284000,"Plausible small Midwest tuck-in: owner-operator (Jeff Walker) family-run school-bus contractor with 5-7 WI district contracts and recent terminal expansion. WI not currently a Summit core state — would be a market entry rather than bolt-on; size is sub-scale (~$1.3M rev, ~39 employees) but clean independent. Worth tracking, low urgency.",100,40,30,100,100,90,1567
547,,A,Northern Express Bus Serivce,WI,"Berlin, WI",76.5,0.8,55,48,2018,census(high),3157839,A,,family-owned,independent,Jeff Walker (Owner),unknown,"[""school"", ""after-school transport""]","Berlin Area School District; Ripon Area School District (won contract in 2022, first new contractor in over a decade); Boys & Girls Club of Tri-County Area (Clay Lamberton afterschool route); ~5-6 districts total","2022: Won Ripon Area School District contract (May 2022 board approval), displacing prior longtime provider; owner Jeff Walker pursuing acquisition of 525 E Fond du Lac St as Ripon terminal. Owner described as 'heavily involved in daily operations' with 'outstanding reputation.' 2020: $95K PPP loan received.",,single,6,252000,"Independent owner-operator (Jeff Walker), reputation-driven, actively growing (new Ripon contract + terminal purchase). DOT #3157839, USDOT-registered LLC. Genuine small private operator with multi-district base in central WI - reasonable micro tuck-in candidate to a WI platform yard; standalone size likely below Summit threshold but worth tracking.",100,40,30,100,100,90,2507
548,,A,Licia School Bus,FL,"Miami, FL",76.5,0.2,,,,none,,,,family-owned,independent,[],unknown,"[""school"", ""private school transport""]","[""Miami private/charter schools (PTRD-licensed)""]",No M&A or news found. Listed as an active small Miami school/employee bus operator at 6107 NW 32nd Ave with D&B sales reported around $0.08M; phone (305) 303-9084.,,single,16,1600000,"Very small (16 employees, sub-$0.1M reported revenue) Miami micro-operator. Below Summit's typical tuck-in threshold; only relevant as a route/license roll-up in a broader Miami-Dade consolidation play.",80,50,100,100,50,90,420
549,,A,J & M School Bus LLC,FL,"Miami, FL",76.5,0.2,,,,none,,,,family-owned,independent,"[""Javier Machado (Manager)""]",unknown,"[""school""]","[""Likely Miami-Dade Public Schools approved private bus contractor pool (separate from J & M Vera School Bus Service Inc., a different Hialeah-based entity owned by Jose Vera/Jose Silva)""]","No M&A or news located; distinct from the better-known J & M Vera School Bus Service Inc. (DOT 2066265, Hialeah).",,single,31,1378000,Small Miami-Dade private bus contractor under Javier Machado; address is a strip-mall suite suggesting modest scale. Plausible candidate in any Miami-Dade fragmented-market roll-up; standalone tuck-in scale likely limited.,80,50,100,100,50,90,452
550,,A,Jelis School Trnsprtn Svc Corp,FL,"Lehigh Acres, FL",76.5,0.2,,,,none,,,,family-owned,independent,Osmel Gonzalez (Vice President),unknown,"[""school""]",likely School District of Lee County (Lehigh Acres/Fort Myers area); FL districts contract small private operators for SPED/charter routes,No public news identified; small Lee County contractor with minimal web footprint,,single,31,1301000,"Small Hispanic-owned Lee County, FL operator (~31 employees, ~$1.3M rev). Florida (Summit state) gives it geographic fit, and Lee County is a growth market, but sub-scale and unverified - low priority unless Summit is rolling up SW Florida small operators. Confirm via Sunbiz and direct contact.",80,50,100,100,50,90,466
551,,A,SJP School Trnsprtn Speclsts,NY,"Saint James, NY",76.5,0.2,,,,none,,,,family-owned,independent,"[""Stephen J. Painter""]",unknown,"[""school""]",[],"No M&A news located. Single-member LLC registered to Stephen J. Painter at his residence (123 Jefferson Ave, St James, NY 11780); appears to be a small Long Island (Suffolk County) owner-operated school-transport business.",,single,25,1201000,"Micro-scale Suffolk County operator run from owner's home; could be a small tuck-in if it holds district route contracts, but very small. Worth a direct call to confirm fleet, district contracts, and owner's age/succession interest.",80,50,100,100,50,90,479
552,,A,Wheelchair Accessible Vans Inc,TX,"Tyler, TX",76.2,1.0,5,5,2008,census(medium),3672827,A,,family-owned,independent,Jonathan/John Mitchell (CEO/Manager),unknown,"[""wheelchair-van-rental"", ""ADA-event-shuttles"", ""NEMT"", ""veteran-transport""]","East Texas (Tyler & Longview), Houston, Austin, Dallas/Carrollton, Fort Worth; ADA event contracts including Super Bowl, NFL Draft, Formula 1, Austin City Limits; veterans and dependents","No M&A; continues operating as Wheelchair Accessible Transportation, LLC (dba 'Wheelin' It' / WeRollYou); family-owned staffed by service-disabled veterans.",http://www.wheelinit.com/,single,25,3647000,Not a school-bus operator — wheelchair-van rental and ADA event shuttle business. Outside Summit's core student-transport thesis; would only be relevant if Summit pursues NEMT/event accessibility adjacencies. De-prioritize as a school-bus tuck-in.,65,60,70,100,100,75,291
553,,A,MTS Transportation Inc,VA,"Alexandria, VA",76.2,1.0,7,4,2005,census(high),2012278,A,,independent,independent,Meron Wodajo (Owner); Minilik Tessema (President); Veronica Shiferaw (VP),low,"NEMT - ambulatory, wheelchair, stretcher; sedan, shuttle, passenger van, passenger bus; serves seniors, dialysis patients, children with special needs (door-to-door medical, not school routes)",DC/Northern VA/MD metro; private-pay and Medicaid NEMT; no school district contracts identified,None located (2024-2026); BBB Accredited.,https://mtstransportationinc.com/,single,35,3011000,NEMT operator marketed to families of special-needs children but not a contracted school-bus / SPED route provider. Off-thesis for Summit; only relevant if Summit pursues SPED door-to-door adjacency in NoVa.,65,60,70,100,100,75,294
554,,A,Rolex Limousine,TX,"Houston, TX",76.2,1.0,5,5,2005,census(medium),4235412,A,,family-owned,independent,"[""Youssef Bernawi (President)""]",unknown,"[""limousine"", ""airport transportation"", ""event transportation""]",[],"Operates as Rolax Limousine Services Inc., incorporated in Texas ~2005; provides airport/limousine service throughout Houston area. No school transportation activity identified.",http://www.rolaxlimo.com/,single,2,159000,Not a school-bus operator. Limousine/airport service. Not a Summit tuck-in candidate.,65,60,70,100,100,75,3386
